trial_id,question
s4a_0ba67504403d030da72e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_4584432edc54edb38f72,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_eec4524f8ed808cd14f3,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_b4107925ec204bffb725,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_1e755ca1b0a4e35823c7,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ff879667e8050258933c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_79138885eb4b3efc1753,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_3670aa6d11da32e2d8c9,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_91bc98d1eaca14cc81d0,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_66f3695357c61d97f5f0,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_96027ecc3ae614d67ec1,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_98707807ec753dac4fe1,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5c981ca94a5617ea72be,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_a566319e77e7df94e4af,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_dd6dabc599e704cd2259,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ee7c68bc18d7d2229a8e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_56b8e95a4d66da2b1ee5,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_444f47dc8de2eb5c7f9f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_d772e565ddd0f95d8778,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_f54b5f79ddae064b48a1,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ee2df5347861d1d07bb4,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_2ba1858b98d0b8136180,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ceac4d87a48eea0ba946,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_14e313bd6fdb069e579c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_63301b10389097d828a0,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5e9af82cee8de7d0cfec,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cf2af4cb1df4b517e076,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_12af2bf25fd268027cf5,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_4b14b497ffdf93ed6313,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_bbe8cc17020566534453,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_a81c960f3f74e2c72312,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_b1037e2357518dd213a3,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_644b868d3a92d1791643,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_4037f2723396d6f14c24,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_d5cf04c17b76a0b669eb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_abb3cdff0d7bcbc05ae9,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_d999ec40f34ade5be8ee,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ddaaa089f3474adf562b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_f5a54266b6316cdba731,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_1d596d454af1fc5cc9c7,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_420bafa6c78e0a7a41aa,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_d1e863c353fb8b27ba1d,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_50f3a3839d568e178e11,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5783e1f468eb0d75192d,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_b612fbcdfefa9290b12c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5edc65fe249921f9deac,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_277a3920304d90a24a1c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cf09ccbe639a4bb41b1f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_e71aef06a99166a083ea,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_aa3149ff8532b935b3a8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_51665e579f19a8ee831a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_36b8aed36d6f0787fa3f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ce46d0c61d5208e51dad,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_c2fad16fe6f2ab1b9786,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_38694971ba25c7712aea,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_95830428d7f031ace0c8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_d3ab0551ab95fb93d531,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cd8b6106180961eb3a15,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_34931a1012044f1d904a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_0235b3ddad335da2b6e9,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_94ae6dc0f65c2003a4f6,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_e75e6438e3b3a4b26fc8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_fd640e35c35edc12dc61,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cc1687e7291b3b3003d2,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ef13bc565702ef25b730,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_1da91503a1559f69cadc,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_248fd67fd04d80ea4be5,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_9c0cc1463adcb3eae2ea,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_610311b9fdd15f32f900,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ab0cc7f6ef41617aabc8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_9ea925259d5b5339a8bb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ad11df0727ac33f910e4,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ac64379448fc17db4c0c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_e52645a44466ebeebc90,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_313d7c62d211ce6436e8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_50cb5f92319869184fe5,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_7b5f8f90cec327fc1d22,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_19febf12824f962652bb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5a9d1e245f61b20e2ad1,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_4e8769492894b516234b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_046c889d544cbeaf1b00,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_97368a489389b9095d39,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_2d936fe8a19395a9c545,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_1534843509e0559ed30f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5030927f0f3dc1617f65,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cfa7e92d17120024fe2f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_7905592593e936f609a5,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_1bad9e4ec5d5b3d85f21,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5130951da6d9df403d92,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_de41a195658c2ceb3b63,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_e7dc4ff16839088e9bad,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_4aef820b2fb8c630f904,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_a2ec27362a31b4423712,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_f5aad7c8706c9c83593b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cdcce2b318c20b0fff22,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_422a54bc8ca3dc86e9b3,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_3facf1ba6ebfffccd52d,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_25d940357e78a3c3a9d6,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_1f1efc24fcd664a4a151,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_c8a7216a6891ada97eed,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_fdd94a7be4af1faf2827,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_020507866311a4e1faac,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ad75dba961ec61a103df,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_f51c52355b9899fc4439,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_ee50133a426a08458350,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_896c2741ea1a444118bd,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_95a3eaffb47f14d11b73,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_edd192af54bbc27d22dc,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_37a7057d103f29bc2c01,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_72e96e849ae05fa2aee6,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_766e9f69561fbe81358a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_003019f69909c244b4dd,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_093fbea491a14448c02f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_4a66985637ebaf518f03,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_5bf77ca80f9a16f5238f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_36ce562f108b1fe96457,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_88fb6383c3206b2fbdb9,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cb339bb4035a0ef5158a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_b69e31fab6e522a04025,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_d39f4c387f12f2d422fb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_24abdf2afd62ffc6433e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_60f753653e8a472b0a07,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_79b4452d9370e9d4ac16,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_81070265f81910ca4f30,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_43240d3d82c9bdc97e09,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_50f42c685206c6c0ef74,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_cbdb3937938ffa456eb0,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_f8f9f2b963ed3864458b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_bdc4e63200affb35c4ba,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_712de82375a13fb43860,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_a10279322b973d3e583c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4a_2857fb04ff50e37b4ad8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
