trial_id,query_track_id,a_title,a_artist,b_title,b_artist,question,choice,note,rated_by
3921:H1,3921,Blacklight Horses,Matt Bauer,Just Like You,Nate Maingard,Which clip sounds MORE like the query overall?,Tie,,lenny
3921:H2,3921,Blacklight Horses,Matt Bauer,Mapenzi Matamu,The Sounds of Taraab,Which clip sounds MORE like the query overall?,A,,lenny
3921:H3,3921,Blacklight Horses,Matt Bauer,Gori More,Rakiya,Which clip sounds MORE like the query overall?,A,,lenny
3921:H4,3921,Mapenzi Matamu,The Sounds of Taraab,Just Like You,Nate Maingard,Which clip sounds MORE like the query overall?,B,,lenny
3921:H5,3921,Just Like You,Nate Maingard,Gori More,Rakiya,Which clip sounds MORE like the query overall?,A,,lenny
3921:H6,3921,Gori More,Rakiya,Mapenzi Matamu,The Sounds of Taraab,Which clip sounds MORE like the query overall?,B,,lenny
3921:H7,3921,O Postaris Avel (Gypsy),Rozsa has become... Madárka,Matamu Choz,The Sounds of Taraab,Which clip sounds MORE like the query overall?,A,,lenny
3921:H8,3921,Monkeystage,Ergo Phizmiz,Matamu Choz,The Sounds of Taraab,Which clip sounds MORE like the query overall?,B,,lenny
10435:H1,10435,Gori More,Rakiya,Lay Your Head On The Rails (& Comeback),Big Blood,Which clip sounds MORE like the query overall?,Neither,,lenny
10435:H2,10435,Let Me Go,The Chapin Sisters,Never Let Me Go,Big Blood,Which clip sounds MORE like the query overall?,B,,cody
10435:H3,10435,Don't You Worry,Tricky Diesel,Let Me Go,The Chapin Sisters,Which clip sounds MORE like the query overall?,,,
10435:H4,10435,Lay Your Head On The Rails (& Comeback),Big Blood,Sunshine,Cath and Phil Tyler,Which clip sounds MORE like the query overall?,,,
11790:H1,11790,Bad Cop (Instrumental),The Impossebulls,New World Order - Part I (vocals: Revolushan),Corty,Which clip sounds MORE like the query overall?,,,
20364:H1,20364,"Pornography, the cult of the body and the death of Eros",Teatro Grotesco,Happy Boccherini,Lanark,Which clip sounds MORE like the query overall?,B,,cody
20364:H2,20364,UnDaTheC acoustic version,Simone Cicconi,"Pornography, the cult of the body and the death of Eros",Teatro Grotesco,Which clip sounds MORE like the query overall?,A,,cody
20364:H3,20364,Happy Boccherini,Lanark,UnDaTheC acoustic version,Simone Cicconi,Which clip sounds MORE like the query overall?,,,
20364:H4,20364,Laare,Salam,Fragrant Rota,Michael Holt,Which clip sounds MORE like the query overall?,,,
20364:H5,20364,"Pornography, the cult of the body and the death of Eros",Teatro Grotesco,Falcon Hood,Podington Bear,Which clip sounds MORE like the query overall?,,,
32340:H1,32340,Chaje Shukarije,Gogofski,An album from the future,Radioactive Sparrow,Which clip sounds MORE like the query overall?,,,
32340:H2,32340,An album from the future,Radioactive Sparrow,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Which clip sounds MORE like the query overall?,,,
32340:H3,32340,Chaje Shukarije,Gogofski,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Which clip sounds MORE like the query overall?,,,
32340:H4,32340,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Softens The Blow,Lonely Faction,Which clip sounds MORE like the query overall?,,,
32340:H5,32340,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Something Dirty,Ergo Phizmiz,Which clip sounds MORE like the query overall?,,,
32340:H6,32340,Thin Veil,Seaven Teares,Something Dirty,Ergo Phizmiz,Which clip sounds MORE like the query overall?,,,
32340:H7,32340,An album from the future,Radioactive Sparrow,Lights Out,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
38896:H1,38896,Spock Fingers,Spray Paint,rock around the click,File Under Toner,Which clip sounds MORE like the query overall?,,,
41605:H1,41605,Farm Montage (Instrumental),BOPD,A Boat in the Fog and a Battle,Albert Glasser,Which clip sounds MORE like the query overall?,,,
41605:H2,41605,Ma Alli Wu Ultillu,Zikrayat,A Boat in the Fog and a Battle,Albert Glasser,Which clip sounds MORE like the query overall?,,,
42844:H1,42844,Pass That Joint,Lesbian Afternoon,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
42844:H2,42844,Gator Foot,Waylon Thornton,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
42844:H3,42844,It Could Be You,Lorenzo's Music,Monsters,Giovanni Cipolla,Which clip sounds MORE like the query overall?,,,
48442:H1,48442,Hunters Moon,Secret Archives of the Vatican,Summon,Quaro,Which clip sounds MORE like the query overall?,,,
48442:H2,48442,Hunters Moon,Secret Archives of the Vatican,Runnin' With The Bulls (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
48442:H3,48442,Runnin' With The Bulls (Instrumental),The Impossebulls,Summon,Quaro,Which clip sounds MORE like the query overall?,,,
48442:H4,48442,Trinity Ridaz At Flex Studios,Ras Amerlock,Skango - Volfoniq rmx (Canada),Caballo and the Mothafu Kings,Which clip sounds MORE like the query overall?,,,
