pilot_id,neutral_id,song,duration_seconds,active_section_density,arrangement_focus,certainty,primary_family,primary_style,secondary_families,secondary_styles,section_variation,status,texture_tags,unmapped_styles,vocal_role,audio_evidence,owner_style_truth
A01,N006,Wet Dreamz — J. Cole,240.4078125,moderate,lead_vocal,"{""family"": ""clear"", ""style"": ""clear""}",hip_hop_rap,boom_bap,[],[],contrasting_sections,classified,"[""sample_based"", ""clean"", ""layered""]",[],rap_led,"[{""end_seconds"": 23.0, ""observation"": ""Introductory section features pitched vocal chops, subtle keys, and spoken introductory lines before the beat drops."", ""start_seconds"": 0.0}, {""end_seconds"": 65.0, ""observation"": ""Boom-bap rhythm enters with a hard-hitting kick and snare backbeat, looped soul/vocal sample chop, and rhythmic rap delivery."", ""start_seconds"": 23.0}, {""end_seconds"": 126.0, ""observation"": ""Chorus section brings layered sung melodic vocals over the looped sample-driven boom-bap drum pattern."", ""start_seconds"": 106.0}]",
A02,N012,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",153.89025,sparse,lead_vocal,"{""family"": ""clear"", ""style"": ""clear""}",hip_hop_rap,trap,[],"[""melodic_trap""]",contrasting_sections,classified,"[""electronic"", ""clean""]",[],rap_led,"[{""end_seconds"": 18.0, ""observation"": ""Introductory section features sparse melodic vocal harmonies and synth chords before drums enter."", ""start_seconds"": 6.0}, {""end_seconds"": 50.0, ""observation"": ""Trap beat enters with rolling synthetic hi-hats, sub-bass 808, and rhythmic rap delivery."", ""start_seconds"": 19.0}, {""end_seconds"": 138.0, ""observation"": ""Transition to a second vocal performer over consistent sparse trap beat with simple melodic synth backdrop."", ""start_seconds"": 110.0}]",
A03,N003,My Gamecube Broke. — .Uzu,170.83439583333333,sparse,beat_or_instrumental,"{""family"": ""clear"", ""style"": ""clear""}",hip_hop_rap,lofi_hip_hop,"[""electronic""]","[""chillhop"", ""instrumental_hip_hop""]",mostly_consistent,classified,"[""hazy"", ""sample_based"", ""electronic""]",[],vocal_samples_only,"[{""end_seconds"": 23.5, ""observation"": ""Spoken English vocal sample loop plays over distant, filtered background noise before the beat enters."", ""start_seconds"": 0.0}, {""end_seconds"": 58.0, ""observation"": ""Relaxed downtempo hip-hop drum beat enters with a soft electric piano chord vamp, dusty crackle, and deep mellow bassline."", ""start_seconds"": 23.5}, {""end_seconds"": 150.0, ""observation"": ""Groove continues with gentle electric piano melodies, repeating bass phrases, vinyl texture, and no lead vocal."", ""start_seconds"": 95.0}]",
A04,N016,She loves the color green and I love her — City Girl,136.5,sparse,beat_or_instrumental,"{""family"": ""clear"", ""style"": ""clear""}",hip_hop_rap,lofi_hip_hop,"[""electronic""]","[""chillhop"", ""instrumental_hip_hop""]",mostly_consistent,classified,"[""hazy"", ""electronic"", ""sample_based""]",[],instrumental,"[{""end_seconds"": 29.0, ""observation"": ""Sparse intro with soft, warm electric piano chords, subtle tape hiss, and ambient bird and nature field recordings."", ""start_seconds"": 0.0}, {""end_seconds"": 65.0, ""observation"": ""Relaxed downtempo hip-hop drum beat enters with subdued kick, muffled rimshot snare, and gentle hi-hat pattern over Rhodes chords."", ""start_seconds"": 29.0}, {""end_seconds"": 136.5, ""observation"": ""Instrumental beat continues with laid-back swing, repeated mellow electric piano progression, quiet sub bass, and background environmental noise."", ""start_seconds"": 85.0}]",
A05,N007,Tea Time — Disvstxr,106.68408333333333,sparse,beat_or_instrumental,"{""family"": ""clear"", ""style"": ""clear""}",hip_hop_rap,lofi_hip_hop,"[""electronic""]","[""chillhop""]",mostly_consistent,classified,"[""sample_based"", ""hazy""]",[],sung_led,"[{""end_seconds"": 32.5, ""observation"": ""Repetitive degraded electric piano chords play over a steady boom-bap drum pattern with prominent vinyl crackle and tape hiss."", ""start_seconds"": 0.0}, {""end_seconds"": 65.0, ""observation"": ""The low-fidelity drum beat and mellow keyboard progression continue with subtle percussion fills and occasional ambient textures."", ""start_seconds"": 32.5}, {""end_seconds"": 106.6, ""observation"": ""Mellow female vocal enters, singing melodically over the sustained relaxed lofi beat and dusty piano loop."", ""start_seconds"": 87.0}]",
A06,N005,GET IT — keshi,158.70839583333333,moderate,balanced,"{""family"": ""clear"", ""style"": ""clear""}",hip_hop_rap,melodic_trap,"[""pop"", ""electronic""]","[""trap"", ""electropop""]",contrasting_sections,classified,"[""electronic"", ""clean"", ""layered""]",[],mixed_rap_and_singing,"[{""end_seconds"": 39.5, ""observation"": ""Spacious electronic beat with crisp trap-style snares, sub-bass, and rapid rhythmic rap vocals delivered with auto-tune processing."", ""start_seconds"": 18.0}, {""end_seconds"": 125.0, ""observation"": ""Catchy melodic sung vocal hook accompanied by shimmering synthesizer pads, melodic trap drum programming, and 808 bass."", ""start_seconds"": 103.5}, {""end_seconds"": 20.0, ""observation"": ""Spoken atmospheric intro gives way to a stuttering drop with synthetic textures and vocal chops leading into the primary beat."", ""start_seconds"": 0.0}]",
A07,N015,The Hills — The Weeknd,234.18485416666667,dense,lead_vocal,"{""family"": ""clear"", ""style"": ""clear""}",electronic,hyperpop,"[""hip_hop_rap"", ""pop""]","[""digicore"", ""trap""]",contrasting_sections,classified,"[""electronic"", ""distorted"", ""layered""]",[],sung_led,"[{""end_seconds"": 41.5, ""observation"": ""Spoken/sung male lead vocal over heavy, distorted 808-style bass and trap hi-hats with synthetic pads in verse."", ""start_seconds"": 8.0}, {""end_seconds"": 78.0, ""observation"": ""Loud, high-pitched female vocal hook with distorted bass drops, trap percussion, and dense electronic synths."", ""start_seconds"": 42.0}, {""end_seconds"": 180.0, ""observation"": ""Repetition of maximalist, pitch-shifted hook with heavy electronic processing, distorted low end, and syncopated trap beats."", ""start_seconds"": 152.0}]",
A08,N014,Shouldn't Be — Luke Chiang,211.28997916666665,moderate,lead_vocal,"{""family"": ""clear"", ""style"": ""clear""}",rnb_soul,alternative_rnb,"[""electronic"", ""pop""]","[""contemporary_rnb"", ""pop_rnb""]",contrasting_sections,classified,"[""electronic"", ""hazy"", ""layered""]",[],sung_led,"[{""end_seconds"": 32.0, ""observation"": ""Slow tempo beat begins with filtered synth pads, deep sub-bass/808 notes, and prominent contemporary R&B vocal melodies."", ""start_seconds"": 6.5}, {""end_seconds"": 63.0, ""observation"": ""Spacious, emotive chorus with lush layered vocal harmonies over trap-influenced slow percussion and atmospheric textures."", ""start_seconds"": 38.0}, {""end_seconds"": 182.0, ""observation"": ""Vocal breakdown where sparse electronic pads swell into a dramatic full-chorus return with wide vocal layers."", ""start_seconds"": 140.0}]",
A09,N013,Perfect Night — LE SSERAFIM,162.13333333333333,moderate,lead_vocal,"{""family"": ""clear"", ""style"": ""clear""}",pop,dance_pop,"[""electronic"", ""rock""]","[""indie_pop""]",contrasting_sections,classified,"[""clean"", ""layered"", ""electronic""]",[],sung_led,"[{""end_seconds"": 15.0, ""observation"": ""Introductory electric guitar chord strums and muted picking with subtle room reverb before the beat drops."", ""start_seconds"": 0.0}, {""end_seconds"": 36.0, ""observation"": ""Sparse pop verse featuring upfront sung lead female vocals over a clean electric bassline and rhythmic drum kit."", ""start_seconds"": 15.0}, {""end_seconds"": 58.0, ""observation"": ""Bright dance-pop chorus featuring layered vocal harmonies, prominent pulsing four-on-the-floor beat, and synth accents."", ""start_seconds"": 36.0}]",
A10,N008,OMG — NewJeans,212.2884375,moderate,balanced,"{""family"": ""clear"", ""style"": ""tentative""}",pop,pop_rnb,"[""electronic"", ""rnb_soul""]","[""dance_pop""]",contrasting_sections,classified,"[""clean"", ""electronic"", ""layered""]","[{""audible_basis"": ""Prominent UK garage 2-step rhythm pattern combined with polished girl-group pop songwriting."", ""proposed_label"": ""uk_garage_pop""}]",sung_led,"[{""end_seconds"": 15.0, ""observation"": ""Introductory section with isolated female vocals over subtle ambient synth pads and a ticking rhythmic motif."", ""start_seconds"": 1.0}, {""end_seconds"": 45.0, ""observation"": ""A bouncy UK garage-inflected two-step beat enters with a syncopated kick, skittering snare, and soft electric piano chords accompanying lead vocals."", ""start_seconds"": 15.0}, {""end_seconds"": 80.0, ""observation"": ""Pop chorus hook driven by stacked melodic vocals, tight sub-bass, clean electronic percussion, and pitched vocal chops."", ""start_seconds"": 45.0}]",
