stable_track_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_release_year,case_tags,case_rationale,query,candidate_1_url,candidate_1_video_id,candidate_1_title,candidate_1_description,candidate_2_url,candidate_2_video_id,candidate_2_title,candidate_2_description,candidate_3_url,candidate_3_video_id,candidate_3_title,candidate_3_description,candidate_4_url,candidate_4_video_id,candidate_4_title,candidate_4_description,candidate_5_url,candidate_5_video_id,candidate_5_title,candidate_5_description,review_label,optional_note
s5b1a_001,,Hello,Adele,25,2015,straightforward_major_hit | pop,Straightforward globally popular studio recording; establishes the easy-case baseline.,"""Adele"" ""Hello"" official",https://www.youtube.com/watch?v=YQHsXMglC9A,YQHsXMglC9A,Adele - Hello (Official Music Video) - YouTube,Adele - Hello (Official Music Video) · Comments.,https://www.youtube.com/watch?v=vlZ9kjCrGJw,vlZ9kjCrGJw,ADELE - HELLO (COVER BY LEROY SANCHEZ) - YouTube,Comments · SIA - Elastic Heart (Leroy Sanchez Cover) · Adele - hello (live - in munich) (simulated DVD) · ADELE - When We Were Young (Leroy Sanchez ...,https://www.youtube.com/watch?v=8fIUkINS1uo,8fIUkINS1uo,Adele - Hello (Lyrics) - YouTube,... adele/​​ https://twitter.com/Adele​​ https://www.youtube.com/user/adelelon...​ http://adele ... Adele - Hello (Official Music Video). Adele•3.2B ...,https://www.youtube.com/watch?v=DfG6VKnjrVw,DfG6VKnjrVw,Adele - Hello (Live at the NRJ Awards) - YouTube,Adele - Hello (Live at the NRJ Awards) · Comments.,https://www.youtube.com/watch?v=yjo_aXygRDI,yjo_aXygRDI,Hello - YouTube,Provided to YouTube by Beggars Group Digital Ltd. Hello · Adele 25 ℗ 2015 XL Recordings Ltd Released on: 2015-11-20 Engineer: Liam Nolan ...,,
s5b1a_002,,Toxic,Britney Spears,In the Zone,2003,older_popular_recording | ambiguous_title | pop,Older popular recording with many uploads and a short common title.,"""Britney Spears"" ""Toxic"" official",https://www.youtube.com/watch?v=LOZuxwVk7TU,LOZuxwVk7TU,Britney Spears - Toxic (Official HD Video),"Official HD Video ""Toxic"" by Britney Spears Listen to Britney Spears: https://BritneySpears.lnk.to/listenYD Subscribe to the official Britney Spears YouTube ...",,,,,,,,,,,,,,,,,,
s5b1a_003,,Crazy in Love,Beyoncé | JAY-Z,Dangerously in Love,2003,multiple_artists | pop | r_and_b,Major collaboration represented by multiple structured artists.,"""Beyoncé"" ""Crazy in Love"" official",,,,,,,,,,,,,,,,,,,,,,
s5b1a_004,,Low (feat. T-Pain),Flo Rida | T-Pain,Mail on Sunday,2007,featured_artist | feat_in_title | hip_hop,Featured artist appears as Spotify-style title noise as well as structured artist metadata.,"""Flo Rida"" ""Low"" official",https://www.youtube.com/watch?v=U2waT9TxPU0,U2waT9TxPU0,Flo Rida - Low (feat. T-Pain) [Official Video] - YouTube,"The official video for ""Low"" by Flo Rida featuring T-Pain from 'Step Up 2 The Streets O.S.T. / Mail On Sunday'. Follow Flo Rida ...",https://www.youtube.com/watch?v=55VKFcKuhQo,55VKFcKuhQo,Flo Rida - Low (feat. T-Pain) | Lyrics - YouTube,Flo Rida - Low (feat. T-Pain) | Lyrics · Comments.,https://www.youtube.com/watch?v=5pWrHIH_LfM,5pWrHIH_LfM,Flo Rida - Low (feat. T-Pain) - YouTube,_*Flo Rida - Low (feat. T-Pain) from Mail on Sunday (2008)*_ Subscribe for more official content from Flo Rida: ...,https://www.youtube.com/watch?v=mRl-V8RJH6A,mRl-V8RJH6A,Low - Flo Rida | Official Music Video (VEVO) - YouTube,Low - Flo Rida | Official Music Video (VEVO) · Comments.,https://www.youtube.com/watch?v=Pm_h6FnF8HU,Pm_h6FnF8HU,Low ft. T-Pain [Apple Bottom Jeans] (Lyrics) - Flo Rida - YouTube,Flo Rida - Low ft. T-Pain [Apple Bottom Jeans] (Lyrics) Support Me on Patreon: https://bit.ly/3ruL157 Suggest a song: ...,,
s5b1a_005,,Paper Planes,M.I.A.,Kala,2007,artist_symbols | punctuation | alternative,Artist punctuation and periods must survive deterministic query construction.,"""M.I.A."" ""Paper Planes"" official",https://www.youtube.com/watch?v=B__XOOM7Vsw,B__XOOM7Vsw,M I A Paper Planes Official Music Video,jaywaynemiati.,,,,,,,,,,,,,,,,,,
s5b1a_006,,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021,parentheses | version_markers | long_title | pop,Long parenthetical title carries essential target-version evidence and must not be stripped.,"""Taylor Swift"" ""All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)"" official",https://www.youtube.com/watch?v=dlBW3Jxv0v4,dlBW3Jxv0v4,Taylor Swift - All Too Well (10 Minute Version) ( ...,minminhyung.,https://www.youtube.com/watch?v=wK7EqBIkyw8,wK7EqBIkyw8,Taylor Swift - All Too Well (10 Minute Version) ( ...,starlight lyrics.,https://www.youtube.com/watch?v=BD0IQFwYwkE,BD0IQFwYwkE,Too Well (10 Minute Version) (Taylor's Version) [From The Vault],Indolirik.,,,,,,,,,,
s5b1a_007,,Here Comes The Sun - 2019 Mix,The Beatles,Abbey Road (Super Deluxe Edition),2019,remastered_or_remixed_recording | older_composition | rock,The intended target is a specifically named later mix of an older composition.,"""The Beatles"" ""Here Comes The Sun - 2019 Mix"" official",https://www.youtube.com/watch?v=GKdl-GCsNJ0,GKdl-GCsNJ0,Here Comes The Sun (2019 Mix),Provided to YouTube by Universal Music Group Here Comes The Sun (2019 Mix) · The Beatles Abbey Road ℗ 2019 Calderstone Productions Limited (a Division of ...,https://www.youtube.com/watch?v=mXrKDtTpG2A,mXrKDtTpG2A,The Beatles - Here Comes The Sun (2019 Mix) Reversed,The Beatles - Here Comes The Sun (2019 Mix) Reversed. @Rolones.Revertidos ... The Beatles - The Beatles - Here Comes The Sun (Official Music Video) [2019 Mix].,,,,,,,,,,,,,,
s5b1a_008,,Fuck You,CeeLo Green,The Lady Killer,2010,explicit_version | clean_counterpart | r_and_b,"Explicit title has a well-known clean-title counterpart, exposing version ambiguity.","""CeeLo Green"" ""Fuck You"" official",https://www.youtube.com/watch?v=pc0mxOXbWIU,pc0mxOXbWIU,CeeLo Green - FUCK YOU (Official Video) - YouTube,CeeLo Green - FUCK YOU (Official Video). @ceelogreen1.4M likes132M ... Daryl Hall & CeeLo Green - F*ck You (Live From Daryl's House).,https://www.youtube.com/watch?v=CAV0XrbEwNc,CAV0XrbEwNc,Cee Lo Green - FUCK YOU - YouTube,"You can now watch the new, official video for ""FUCK YOU"" on Cee Lo's Youtube channel: • CeeLo Green - FUCK YOU... Download ""Fuck You"" at ...",https://www.youtube.com/watch?v=qmT-xPFwDYQ,qmT-xPFwDYQ,Fuck You - YouTube,Provided to YouTube by Radiculture/Elektra Fuck You · CeeLo Green The Lady Killer ℗ 2010 Elektra Entertainment for the United States and WEA ...,https://www.youtube.com/watch?v=AHAOrBptq04,AHAOrBptq04,The Making Of 'F**k You' - Cee Lo Green - YouTube,"Watch the official video for ""F**k You"" here: • CeeLo Green - FUCK YOU... Watch Cee Lo's hottest music videos here: • Cee Lo Green Official ...",https://www.youtube.com/watch?v=Op1hcyul5A4,Op1hcyul5A4,Fuck You (Bart B More Mix) - YouTube,Provided to YouTube by Radiculture/Elektra Fuck You (Bart B More Mix) · CeeLo Green Fuck You ℗ 2011 Elektra Entertainment for the United States,,
s5b1a_009,,Stay,Rihanna | Mikky Ekko,Unapologetic,2012,ambiguous_title | multiple_artists | pop,Common one-word title with many unrelated songs and covers.,"""Rihanna"" ""Stay"" official",https://www.youtube.com/watch?v=Sm64fA8Yvy0,Sm64fA8Yvy0,Rihanna - Stay (Official Music Video),"Stay is a raw, emotionally charged pop/R&B ballad inspired by Rihanna's signature vulnerability and powerful storytelling. The song dives into the quiet ...",https://www.youtube.com/watch?v=eadqRczqkq8,eadqRczqkq8,Rihanna - Stay ft Mikky Ekko ( Lyrics Video Sub Español) Official ...,Brandon Lee “Mr. Angel” Williams Alvarado.,,,,,,,,,,,,,,
s5b1a_010,,One More Time,Daft Punk,Discovery,2001,electronic | many_remixes | older_popular_recording,Canonical popular electronic recording with many mixes and long-form uploads.,"""Daft Punk"" ""One More Time"" official",https://www.youtube.com/watch?v=FGBhQbmPwH8,FGBhQbmPwH8,Daft Punk - One More Time (Official Video) - YouTube,Daft Punk - One More Time (Official Video) · Comments.,https://www.youtube.com/watch?v=fa5IWHDbftI,fa5IWHDbftI,One More Time - YouTube,Provided to YouTube by Daft Life Ltd./ADA France One More Time · Daft Punk Discovery ℗ 2001 Daft Life Limited Drum Machine Drums: Guy-Manuel ...,https://www.youtube.com/watch?v=ltAGiD0ftew,ltAGiD0ftew,Daft Punk - One More Time (Lyrics) - YouTube,Daft Punk - One More Time (Lyrics) · Comments.,https://www.youtube.com/watch?v=BMC8nTo5oJo,BMC8nTo5oJo,Daft Punk One More Time (Live) - YouTube,Daft Punk One More Time live from Chicago U.S.A. ... Daft Punk - One More Time (Official Video). Daft Punk•614M views · 2:04.,https://www.youtube.com/watch?v=x7pPi_vo6_I,x7pPi_vo6_I,Daft Punk 'One More Time' (Live at The Domain 2023) | ProShot 4K,Daft Punk 'One More Time' (Live at The Domain 2023) | ProShot 4K (Official Music Video) Watch The ULTIMATE SYNTHONY Playlist: ...,,
