global_attempt,phase,run_attempt,pilot_id,neutral_id,repeat,prepared_sha256,validation_status,response_id,requested_model,returned_model_version,finish_reason,http_status,latency_seconds,counted_input_tokens,prompt_tokens,audio_tokens,candidate_tokens,thinking_tokens,total_tokens,reserved_upper_usd,settled_standard_rate_usd,raw_response_sha256,request_sha256
1,original_schema,1,A01,N006,False,c7426f84d7a6d9d3523c53d5a94c06a54a482a63cc1c6ebeb3b6c87b832efb8e,INVALID_TIMESTAMP,ONCharzuEJ7S_uMP2-zTkQ4,gemini-3.8-flash,gemini-3.8-flash,STOP,200,4.0609443909997935,10772,9090,6011,361,0,9451,0.81715200,0.00817125,672f8b4579fb314cab6c1cfe9e9ee0c82561d0e42088a576af206bfc5e9a895e,5853b282725497a29459691221f8062d9b23442bf0fdafd4d98725e0b6897f74
2,original_schema,2,A03,N003,False,b8c069a2cf281c3625e4fb9fc036b991684ca019c9eb9fe73a37a66424ad32bb,VALIDATED,wtChauf0B7HvqtsPyYq50As,gemini-3.8-flash,gemini-3.8-flash,STOP,200,3.795082653001373,8546,7350,4271,351,0,7701,0.81715200,0.00682875,8fd616aeac78e98ad59c94b28fc01a73b29614c55764c01ab5c558b3ce348bf5,0453c5e9d3720b9a0357d0880c01c26c701b9e7950e9921cc5ce6d9ad0ba5a8e
3,duration_bounded_schema,1,A01,N006,False,c7426f84d7a6d9d3523c53d5a94c06a54a482a63cc1c6ebeb3b6c87b832efb8e,VALIDATED,bd-hapTVIoOP6dkP793L-Q0,gemini-3.8-flash,gemini-3.8-flash,STOP,200,3.0099689240014413,10772,9090,6011,351,0,9441,0.81715200,0.00813375,ec3d74870d3f8d1f16e63b5114a4f4196e2633f2fc86f0f47c1838f608dbd0ee,978c7d42b04a94507fc1a10454f600d67a9805a526d110b20c740d4150bcaa37
4,duration_bounded_schema,2,A03,N003,False,b8c069a2cf281c3625e4fb9fc036b991684ca019c9eb9fe73a37a66424ad32bb,VALIDATED,l9-hauidDf6tz7IPpL6ZiQE,gemini-3.8-flash,gemini-3.8-flash,STOP,200,2.452359049999359,8546,7350,4271,401,0,7751,0.81715200,0.00701625,524b193a5a68ede0219cf82e732b23aa3e5aacbd870bc83436920c39ca0384e2,7acbbb2db1e7c622b01966e4ef553737528c7b4b1cf601ddc87656bb7e0b9566
5,duration_bounded_schema,3,A02,N012,False,b067108b50bf1f26b497e898693bfeb58c9908212b4bab8a413599a4110ab9e3,VALIDATED,wN-harD4COqIz7IPy82L2QI,gemini-3.8-flash,gemini-3.8-flash,STOP,200,3.7599713479994534,8004,6927,3848,348,0,7275,0.81715200,0.00650025,0ed22f7423e0572980704a6a08ace626893c9fb89f6d5162c027a3e8fe429fed,083e5a3a021b908d3ec6e8276592d5e427ca2f5bbdea8591107d7682e62182b0
6,duration_bounded_schema,4,A04,N016,False,72c569b9d6eee9764ee8f4dca09659b1a7e215ec967eeedb4ab1ccebf8960f35,VALIDATED,x9-haojOHK6h1MkP3JqOsAM,gemini-3.8-flash,gemini-3.8-flash,STOP,200,3.4594375630003924,7448,6492,3413,396,0,6888,0.81715200,0.00635400,673aab533c28842e54d9557fef5375ffdef77e80a4f290d773699bdb6d629e3c,5a2e6d46b3c79eec623cfc734122744e4988ed5438ea82c94fcbf66ab15651cb
7,duration_bounded_schema,5,A05,N007,False,03285df6f5fa897af6e6d195465c186aad562e1905931de4fbc519bd88e1b09f,VALIDATED,zd-hatTnPMaHz7IPoobtkQo,gemini-3.8-flash,gemini-3.8-flash,STOP,200,2.75537426000119,6493,5747,2668,326,0,6073,0.81715200,0.00553275,ee2b3f9246844f989fabdd09840dc238ecef74ea9b8b0807cdf7b5ad8d04a9ac,0a98e0d19f85f12d514e2f280e5f7123eb5519afe547ad86f66812858a56a28e
8,duration_bounded_schema,6,A06,N005,False,84bd2c401fd14346ade328c4a829085e69dae510e56765e82b93ab27a4aaaca9,VALIDATED,1N-hau2KLOqIz7IPy82L2QI,gemini-3.8-flash,gemini-3.8-flash,STOP,200,3.4755239070000243,8158,7047,3968,394,0,7441,0.81715200,0.00676275,973691f81576770c408f7b4ea23a99709c0e73520640237c4d7d9c3f0db1d7b2,cf2f5351ae7b23cbd3c6baeb455fe4a0110c7a00903352ee7e1c4171c81e69a6
9,duration_bounded_schema,7,A07,N015,False,6c065a22940a0263208799698fc6edfbe68532c988c14e6998fb90006d06721a,VALIDATED,3N-hapKyEY21_uMPwqOGuQI,gemini-3.8-flash,gemini-3.8-flash,STOP,200,4.984763913998904,10573,8934,5855,368,0,9302,0.81715200,0.00808050,371b68da442ab5399c30c03928f8e30caca9644a25ec227f47c06a5cabb3c365,a4c064c7ef3d73517d36f0e66d4eb74dd845f5d35626faa2319529a4c4c5ed5a
10,duration_bounded_schema,8,A08,N014,False,90cedefc8b8409fbc4d474207ac6f8891943310b97774cb46fe7384bee8f5b10,VALIDATED,5d-havu5Hcez_PUPxpbCwQI,gemini-3.8-flash,gemini-3.8-flash,STOP,200,3.129994008000722,9841,8362,5283,364,0,8726,0.81715200,0.00763650,b008ec7dc3453766f0bcb3e5cdcc6685a9d6a32960d0f92e91a5ed0dbac7613a,ab2afde184d22cf6c625fbc77bac06a0b03e74404564af8688be3093c5bbf97b
11,duration_bounded_schema,9,A09,N013,False,49c29b509d805e167a3bdb4ac417a68b2272b6c4c64ab050a78cf69d8fd841e2,VALIDATED,7N-har2NIYKq_uMPwtjWuAs,gemini-3.8-flash,gemini-3.8-flash,STOP,200,2.9642848709991085,8268,7133,4054,346,0,7479,0.81715200,0.00664725,376b12a6caa5690bb637118e9e58f8df8efeb56acdc58f110e15c09885bd0da9,4975a2afb3825e97c40bc0ece530bc79f90ce9b021ad94fe80cb661363ff3978
