pilot_id,spotify_track_id,song,original_family,original_styles,free_family,free_styles,free_vocal_role,free_arrangement,free_family_certainty,free_style_certainty,owner_first_pass_verbatim,owner_followup,owner_verdict_on_new_profile
A01,4tqcoej1zPvwePZCzuAjJd,Wet Dreamz — J. Cole,hip_hop_rap,boom_bap,Hip Hop,Boom Bap; Conscious Hip Hop; East Coast Hip Hop,rap_led,lead_vocal,clear,clear,the song sounds like boom bap/ golden age rap ,,NOT_REVIEWED
A02,2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",hip_hop_rap,trap; melodic_trap,hip hop,trap; plugg,rap_led,lead_vocal,clear,clear,trap rap heavy fast/aggressive,,NOT_REVIEWED
A03,2Vu2hkPW7LxMHPqoMjSIEJ,My Gamecube Broke. — .Uzu,hip_hop_rap,lofi_hip_hop; chillhop; instrumental_hip_hop,Electronic,Drum and Bass; Neurofunk; Dubstep,vocal_samples_only,beat_or_instrumental,clear,clear,lofi electronic/gamey style,,NOT_REVIEWED
A04,7hFW5IN7mQ99PuO86r38Sf,She loves the color green and I love her — City Girl,hip_hop_rap,lofi_hip_hop; chillhop; instrumental_hip_hop,Hip Hop,Lo-Fi Hip Hop; Downtempo; Chillout,vocal_samples_only,beat_or_instrumental,clear,clear,soft studying lofi sound,,NOT_REVIEWED
A05,5sEeuhYWHNczuPKek1zJeG,Tea Time — Disvstxr,hip_hop_rap,lofi_hip_hop; chillhop,hip_hop,lo_fi_hip_hop; chillhop; downtempo,vocal_samples_only,beat_or_instrumental,clear,clear,lofi hip hop ,,NOT_REVIEWED
A06,4LaZ8RpIP6DIgN73bXQVlO,GET IT — keshi,hip_hop_rap,melodic_trap; trap; electropop,Hip Hop,Trap; Pop Rap; Melodic Rap,mixed_rap_and_singing,balanced,clear,clear,dark alt rnb ,,NOT_REVIEWED
A07,7fBv7CLKzipRk6EC6TWHOB,The Hills — The Weeknd,electronic,hyperpop; digicore; trap,R&B,Contemporary R&B; Trap; Alternative R&B,sung_led,lead_vocal,clear,clear,dark heavy rnb,Hyperpop identity still does not fit.,NOT_REVIEWED
A08,7F6PtLP6fJPVtA1FWVkl8K,Shouldn't Be — Luke Chiang,rnb_soul,alternative_rnb; contemporary_rnb; pop_rnb,R&B,Contemporary R&B; Alt-Pop; Ambient Pop,sung_led,lead_vocal,clear,clear,soul rnb,,NOT_REVIEWED
A09,74X2u8JMVooG2QbjRxXwR8,Perfect Night — LE SSERAFIM,pop,dance_pop; indie_pop,Pop,Dance-Pop; Contemporary R&B; Nu-Disco,sung_led,lead_vocal,clear,clear,kpop contemporary rnb,,NOT_REVIEWED
A10,65FftemJ1DbbZ45DUfHJXE,OMG — NewJeans,pop,pop_rnb; dance_pop,Pop,K-Pop; Contemporary R&B; Synth-Pop,mixed_rap_and_singing,lead_vocal,clear,clear,kpop hip hop contemporary rnb,,NOT_REVIEWED
C01,00njeQb198Lm7Jge2Rsrlg,"Saturation in Delay, Love in Anger — City Girl, tiffi",pop,hyperpop; digicore; electropop,electronic,minimal techno; dub techno; microhouse,vocal_samples_only,beat_or_instrumental,clear,clear,lofi,Hyperpop label seems more plausible; not a full-profile approval.,NOT_REVIEWED
C02,6pWqlKm9ugucgKNldCLigX,"Sit Around — City Girl, tiffi",rnb_soul,pop_rnb; contemporary_rnb,Pop,Indie Pop; Electropop; Alternative R&B,sung_led,lead_vocal,clear,clear,lofi soft vibes,,NOT_REVIEWED
C03,2js0td9w2MzNUVPlMKYOEs,risk — lace,rnb_soul,alternative_rnb; contemporary_rnb; ambient,Electronic,Trip Hop; Downtempo; Dream Pop,sung_led,lead_vocal,clear,clear,dreamy whisper dream pop bedroom pop,,NOT_REVIEWED
C04,1ON9XudZFxwu43tQXBszIX,boys dont cry — sysmint,electronic,digicore; hyperpop,Hip Hop,Trap; Emo Rap; Melodic Rap,mixed_rap_and_singing,lead_vocal,clear,clear,electronic hyperpop,,NOT_REVIEWED
C05,6wm3t4VpTxSFfOUgTMlHZM,The Peace — underscores,rnb_soul,contemporary_rnb; pop_rnb; alternative_rnb,R&B and Soul,Contemporary R&B; Trap; Alternative R&B,sung_led,lead_vocal,clear,clear,alt pop ballad hyperpop,,NOT_REVIEWED
C06,7fXYFuCTmNrYRGwEUUf5iz,Die Right Here — david hugo,pop,dance_pop; synthpop,Pop,Dance-Pop; Nu-Disco; Synth-Pop,sung_led,lead_vocal,clear,clear,alt upbeat indie,,NOT_REVIEWED
