stage5c1_track_id,spotify_track_id,spotify_target,group,top5_combined_neighbors,expected_group_relationship,inspection_priority,analyst_assessment,observed_relationship_note,human_sanity_label,human_note
stage5c1_A01,12xARyH7lVwQyeyBJd80Mz,Snow White Petals and Lights — City Girl,A,stage5c1_A02 To Be Honest I Just Want to Eat Noodles with You [A]=0.7994 | stage5c1_C05 Cut My Hair [C]=0.7798 | stage5c1_C02 The Girl Next Door [C]=0.7683 | stage5c1_D05 Deja Vu [D]=0.7613 | stage5c1_C04 Grape Soda [C]=0.7493,"A coherent City Girl cluster: mellow lo-fi instrumentals with closely related texture, pacing, and production.",ROUTINE,MIXED_BUT_PLAUSIBLE,One same-group neighbor appears in the Top-5; cross-group matches should be inspected for shared production or instrumentation.,,
stage5c1_A02,7FpUGKMaiBj1AmWgufABjJ,To Be Honest I Just Want to Eat Noodles with You — City Girl,A,stage5c1_A03 Château Fountain [A]=0.8060 | stage5c1_A01 Snow White Petals and Lights [A]=0.7994 | stage5c1_A04 Soundlessly in the Wind Like Lost Souls [A]=0.7414 | stage5c1_C01 i want you to help me live [C]=0.7134 | stage5c1_C04 Grape Soda [C]=0.6735,"A coherent City Girl cluster: mellow lo-fi instrumentals with closely related texture, pacing, and production.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,3/5 combined neighbors are from the intended group.,,
stage5c1_A03,19BDozGmxYGxF1NcUlENmm,Château Fountain — City Girl,A,stage5c1_A02 To Be Honest I Just Want to Eat Noodles with You [A]=0.8060 | stage5c1_C01 i want you to help me live [C]=0.7368 | stage5c1_A04 Soundlessly in the Wind Like Lost Souls [A]=0.7214 | stage5c1_A01 Snow White Petals and Lights [A]=0.6988 | stage5c1_A05 Lost Birds in Heaven's Gaze [A]=0.6918,"A coherent City Girl cluster: mellow lo-fi instrumentals with closely related texture, pacing, and production.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,4/5 combined neighbors are from the intended group.,,
stage5c1_A04,47GDIIaeH1GaU7unvTGroF,Soundlessly in the Wind Like Lost Souls — City Girl,A,stage5c1_A02 To Be Honest I Just Want to Eat Noodles with You [A]=0.7414 | stage5c1_A01 Snow White Petals and Lights [A]=0.7324 | stage5c1_A03 Château Fountain [A]=0.7214 | stage5c1_E04 Temple of Time [E]=0.7102 | stage5c1_C04 Grape Soda [C]=0.6982,"A coherent City Girl cluster: mellow lo-fi instrumentals with closely related texture, pacing, and production.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,3/5 combined neighbors are from the intended group.,,
stage5c1_A05,07YG6Ark70YsDK4q3swKrc,Lost Birds in Heaven's Gaze — City Girl,A,stage5c1_A03 Château Fountain [A]=0.6918 | stage5c1_A01 Snow White Petals and Lights [A]=0.6431 | stage5c1_C05 Cut My Hair [C]=0.6409 | stage5c1_E05 I Will Go To You Like the First Snow [E]=0.6249 | stage5c1_E04 Temple of Time [E]=0.6208,"A coherent City Girl cluster: mellow lo-fi instrumentals with closely related texture, pacing, and production.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_B01,5fCKBIJ7BwaCpxxwZCbS5X,We got so much — LE SSERAFIM,B,stage5c1_B03 Sour Grapes [B]=0.8696 | stage5c1_D03 BBIBBI [D]=0.8114 | stage5c1_D01 TKO [D]=0.7896 | stage5c1_B05 Ash [B]=0.7663 | stage5c1_B04 UNFORGIVEN (feat. Nile Rodgers) [B]=0.7615,"Shared LE SSERAFIM voices and pop production should remain visible, but the softer R&B, disco-pop, warm midtempo, western-funk, and dark electronic cuts should not collapse into a uniformly tight cluster.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,3/5 combined neighbors are from the intended group.,,
stage5c1_B02,37YoRLUu1qId0ewavgvnkG,Blue Flame — LE SSERAFIM,B,stage5c1_B01 We got so much [B]=0.6687 | stage5c1_B03 Sour Grapes [B]=0.6435 | stage5c1_E01 Feels Like [E]=0.6416 | stage5c1_D03 BBIBBI [D]=0.6405 | stage5c1_D01 TKO [D]=0.6352,"Shared LE SSERAFIM voices and pop production should remain visible, but the softer R&B, disco-pop, warm midtempo, western-funk, and dark electronic cuts should not collapse into a uniformly tight cluster.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_B03,6wBpO4Xc4YgShnENGSFA1M,Sour Grapes — LE SSERAFIM,B,stage5c1_B01 We got so much [B]=0.8696 | stage5c1_D01 TKO [D]=0.8333 | stage5c1_E05 I Will Go To You Like the First Snow [E]=0.8217 | stage5c1_D03 BBIBBI [D]=0.8183 | stage5c1_B04 UNFORGIVEN (feat. Nile Rodgers) [B]=0.7927,"Shared LE SSERAFIM voices and pop production should remain visible, but the softer R&B, disco-pop, warm midtempo, western-funk, and dark electronic cuts should not collapse into a uniformly tight cluster.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_B04,51vRumtqbkNW9wrKfESwfu,"UNFORGIVEN (feat. Nile Rodgers) — LE SSERAFIM, Nile Rodgers",B,stage5c1_D01 TKO [D]=0.9151 | stage5c1_B03 Sour Grapes [B]=0.7927 | stage5c1_D03 BBIBBI [D]=0.7727 | stage5c1_B01 We got so much [B]=0.7615 | stage5c1_D04 FaSHioN [D]=0.7506,"Shared LE SSERAFIM voices and pop production should remain visible, but the softer R&B, disco-pop, warm midtempo, western-funk, and dark electronic cuts should not collapse into a uniformly tight cluster.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_B05,5o4U0weUIAXolji4sEAnjI,Ash — LE SSERAFIM,B,stage5c1_B01 We got so much [B]=0.7663 | stage5c1_B03 Sour Grapes [B]=0.7392 | stage5c1_A01 Snow White Petals and Lights [A]=0.7171 | stage5c1_C02 The Girl Next Door [C]=0.6939 | stage5c1_E01 Feels Like [E]=0.6896,"Shared LE SSERAFIM voices and pop production should remain visible, but the softer R&B, disco-pop, warm midtempo, western-funk, and dark electronic cuts should not collapse into a uniformly tight cluster.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
