trial_id,question
s4d_6a9d9c49a13e5971eaab,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_e2d5b6ca5dcafd47bc30,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_b76f4f11c083d26476de,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_ededd27c0259601605ad,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_2ef3e08a3ab2a2fd8e66,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_3672a26aae31e97b824e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_cf10581e71134c13c23f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_549daddfbb2a9b936f4b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_2ad0b3531d99ba4eb3ae,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_01d5e599938e2f8f0a4e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_d55aef1a6793192a33dd,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_1bfc9b9e7db51d2e92b5,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_a64fb4e4a6f02f38a0b7,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_9947108b7eccde7ad415,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_6ce79b19920b8fefcf02,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_8be83672e7b8ab1fafc1,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_b6e0cda4a080fc85421a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_d7d4419f46ef99aac569,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_dfbffb2a004faad85f07,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_046a74f768e39ee56c57,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_8a1ed1f4074dbd4a5ad7,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_15856ae1badbe4b5bcae,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_d2db3afbe45a1923ccc4,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_2c01f1396f451cc06383,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_4fde757f4dd03136473a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_c9966639607a21213d13,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_7a849dc88dded0fc9739,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_bbdd8f341be309836c29,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_c8b69c4c7b57a3457046,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_dbd7e4abc0fa5a79a1ee,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_31ba76e942973dd5967b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_6ec718b037a1d8600134,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_9a41e2ba1d8414c35acb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_5e72ee8fafd358d148cc,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_0fddf35ca0b5cc3349fb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_15ed013987a3c4653f53,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_18abf772004842eb10d2,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_4e8e1c3b9d1b7530552f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_34b0d1c07ef17ddf885b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_fabd610a7e3b3b810f7e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_1d3d4e52001e4d6424a7,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_d378d2042e775470fbcf,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_d7c3761ce1c59a298287,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_e1e884bcc11b1224a2ea,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_dac3cdabea6b93e9cf7a,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_45aaffa04c94a3ea4304,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_935f75d5b8c129b1fe79,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_cda552199a1b23babf02,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_1f6439e7dd4686a4bc25,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_6af844ded82daf2ac8e2,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_cf77883a6d4da9ede2d0,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_61a1655615478eb0fcfb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_c9d4c26fe8edb54494cb,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_e1a8b34dee6d89296db1,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_06b09666b6f5f181e38c,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_5c4384de67dff3a784ac,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_73f47ee6c4bf0fcd361f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_f3d0067c0946cec3be9b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_cb273033cb5baf89652b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_5b19997049defb81eac2,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_b074b9774bd6f64c85bc,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_0493e2fa2f6f8c3e1b34,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_ec9af96416cc2eb5c74f,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_e1cd2888719115a83fab,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_fc47b5ff71079273ca83,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_c43356a4eb80aaffbdcc,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_9789c5e3c3f7224e1e6e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_348886ed4e68aff35e2e,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_ed3bc397d12aed54d72d,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_c86311e3f2186d858cd8,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_74662f8b3e78f73b2255,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_0c16bc1e9f6bacceaba0,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_6f358ab6a725eb022396,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_607df5311b9ecbdd0fb2,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_6d0fec05f30aec5be1ce,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_66c706a55f3c21ab7987,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_72261efd5f2b5a60da6b,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_789155d8c07917547058,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
s4d_9276db7194fff3d49535,"Considering the available 30-second recordings overall, which candidate sounds more like the query?"
